Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	SPD	SPD	FDP	FDP	CSU	CSU	GB/BHE	GB/BHE	DP	DP	KPD	KPD	BP	BP	GVP	GVP	DRP	DRP	Zentrum	Zentrum	DNS	DNS	SSW	SSW	SHLP	VU	PdgD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																						
119	Iserlohn-Stadt und -Land	NW	146806	127848	4462	3992	123386	123856	60466	49950	42495	41975	10650	13477	0	0	4383	4713	744	1099	2303	2339	0	0	2345	2442	0	0	0	7861	0	0	0	0	0	0	0	0
120	Unna – Hamm	NW	175702	156022	4574	4784	151448	151238	66159	62142	62432	61405	13295	14883	0	0	3414	3659	1072	1420	4101	4179	0	0	975	1253	0	0	0	2297	0	0	0	0	0	0	0	0
121	Meschede – Olpe	NW	104945	95668	2661	2227	93007	93441	67783	64381	16897	16391	4338	4773	0	0	2007	2110	461	635	761	734	0	0	760	763	0	0	0	3654	0	0	0	0	0	0	0	0
122	Arnsberg – Soest	NW	143333	126859	3884	3384	122975	123475	75991	68059	28429	27804	11814	11956	0	0	3728	3889	1342	1436	887	898	0	0	784	856	0	0	0	8577	0	0	0	0	0	0	0	0
123	Lippstadt – Brilon	NW	105230	94383	3194	2579	91189	91804	60628	56264	19046	17996	4275	4644	0	0	5592	5611	557	706	534	529	0	0	557	561	0	0	0	5493	0	0	0	0	0	0	0	0
124	Altena – Lüdenscheid	NW	138091	118946	2615	2953	116331	115993	48920	46437	42205	41374	15584	16865	0	0	4256	4425	1043	1313	1879	1934	0	0	2444	2797	0	0	0	848	0	0	0	0	0	0	0	0
125	Siegen-Stadt und -Land – Wittgenstein	NW	151532	130413	2552	2826	127861	127587	59056	56984	31335	30689	18469	19767	0	0	6368	6611	589	978	1032	1066	0	0	11012	10897	0	0	0	595	0	0	0	0	0	0	0	0
905	Nordrhein-Westfalen	NW	9599109	8250961	256275	242532	7994686	8008429	4034990	3915320	2609048	2553014	683465	682902	0	0	203203	213951	69067	80034	227366	228592	0	0	105099	117538	5000	0	55835	217078	1613	0	0	0	0	0	0	0
																																						
126	Waldeck	HE	130560	114749	5247	4084	109502	110665	0	28981	36824	34228	57491	30933	0	0	11314	11276	1721	3156	1600	1481	0	0	552	610	0	0	0	0	0	0	0	0	0	0	0	0
127	Kassel	HE	174268	158388	4777	6538	153611	151850	28455	38800	67210	65541	46603	34039	0	0	3649	3944	1906	3382	4719	4828	0	0	1069	1316	0	0	0	0	0	0	0	0	0	0	0	0
128	Eschwege	HE	117560	105476	3169	3980	102307	101496	17899	23167	40746	39745	31856	25034	0	0	8763	9561	712	1658	1683	1706	0	0	648	625	0	0	0	0	0	0	0	0	0	0	0	0
129	Fritzlar-Homberg	HE	125882	110219	2888	4224	107331	105995	11407	23007	36859	35283	45931	31362	0	0	10039	10756	1261	3460	955	983	0	0	879	1144	0	0	0	0	0	0	0	0	0	0	0	0
130	Hersfeld	HE	112934	101415	2299	3801	99116	97614	24309	33070	34748	32907	31421	20920	0	0	4214	4726	3163	4477	681	723	0	0	580	791	0	0	0	0	0	0	0	0	0	0	0	0
131	Marburg	HE	125054	106988	2518	3729	104470	103259	26245	31573	31454	29989	35154	26697	0	0	6899	7661	647	2532	1062	1092	0	0	2914	3715	0	0	0	0	95	0	0	0	0	0	0	0
132	Wetzlar	HE	146196	124344	3444	5047	120900	119297	30190	33272	36952	35915	28321	24104	0	0	13368	12788	2086	2958	1715	1696	0	0	8268	8564	0	0	0	0	0	0	0	0	0	0	0	0
133	Gießen	HE	144174	124033	2564	3445	121469	120588	21944	28070	39033	38247	41460	33605	0	0	14863	15039	592	1670	1866	1898	0	0	1711	2059	0	0	0	0	0	0	0	0	0	0	0	0
134	Fulda	HE	152947	136505	3477	4143	133028	132362	70987	71425	25687	25193	19771	18645	0	0	10675	11131	2198	2435	988	963	0	0	2722	2570	0	0	0	0	0	0	0	0	0	0	0	0
135	Obertaunuskreis	HE	121199	106319	3342	4532	102977	101787	35413	36250	32714	31715	18565	17055	0	0	9141	8911	4223	4733	1496	1503	0	0	1425	1620	0	0	0	0	0	0	0	0	0	0	0	0
136	Friedberg	HE	153088	131775	4849	6691	126926	125084	27930	30808	47283	45740	35153	30833	0	0	9954	10223	2253	2900	2808	2746	0	0	1545	1834	0	0	0	0	0	0	0	0	0	0	0	0
137	Limburg	HE	132951	118504	3918	4837	114586	113667	55653	56140	27715	26491	19558	18659	0	0	8833	9240	1247	1470	1061	1054	0	0	519	613	0	0	0	0	0	0	0	0	0	0	0	0
138	Wiesbaden	HE	169884	139544	13584	7047	125960	132497	40250	43560	37814	39672	40832	37544	0	0	0	5501	1971	1924	2831	2951	0	0	1219	1345	1043	0	0	0	0	0	0	0	0	0	0	0
139	Hanau	HE	138292	124058	5799	6601	118259	117457	37537	38030	42092	41409	15995	15207	0	0	7693	8038	3112	3351	7601	7573	0	0	4229	3849	0	0	0	0	0	0	0	0	0	0	0	0
140	Frankfurt/M I	HE	141508	114865	2999	5298	111866	109567	42147	41902	41294	40139	15462	15033	0	0	3675	3456	3760	4214	3153	3091	0	0	1388	1732	987	0	0	0	0	0	0	0	0	0	0	0
141	Frankfurt/M II	HE	169678	136217	2736	5104	133481	131113	52516	51839	45218	43935	20563	20427	0	0	3955	3810	4531	5199	3295	3266	0	0	2161	2637	1242	0	0	0	0	0	0	0	0	0	0	0
142	Frankfurt/M III	HE	141218	113627	2399	4438	111228	109189	41125	40620	40527	39524	15941	15790	0	0	3091	2922	4672	5104	2815	2797	0	0	2072	2432	985	0	0	0	0	0	0	0	0	0	0	0
143	Groß-Gerau	HE	161306	143724	6631	8857	137093	134867	46060	45990	53258	51722	20459	20003	0	0	7917	7737	2874	3054	5161	4950	0	0	1364	1411	0	0	0	0	0	0	0	0	0	0	0	0
144	Offenbach/M	HE	169038	149005	5257	7337	143748	141668	52061	50848	57539	56202	11698	12577	0	0	3753	4029	10637	9758	6572	6453	0	0	1488	1801	0	0	0	0	0	0	0	0	0	0	0	0
145	Darmstadt	HE	135375	119049	4508	5669	114541	113380	22415	28981	48690	45596	33357	27019	0	0	3533	3996	923	1481	4298	4439	0	0	1325	1868	0	0	0	0	0	0	0	0	0	0	0	0
146	Dieburg	HE	104515	92686	4257	5137	88429	87549	32436	30567	35316	34281	12392	13786	0	0	2833	2897	734	1286	3852	3882	0	0	866	850	0	0	0	0	0	0	0	0	0	0	0	0
147	Bergstraße	HE	114156	100613	3908	4612	96705	96001	43444	42225	30067	29227	12551	13276	0	0	5720	5857	0	502	3918	3862	0	0	1005	1052	0	0	0	0	0	0	0	0	0	0	0	0
906	Hessen	HE	3081783	2672103	94570	115151	2577533	2556952	760423	849125	889040	862701	610534	502548	0	0	153882	163499	55223	70704	64130	63937	0	0	39949	44438	4257	0	0	0	95	0	0	0	0	0	0	0
																																						
148	Altenkirchen (Westerwald)	RP	158089	141102	4413	4346	136689	136756	76770	76732	35268	34847	13702	13630	0	0	1742	2153	4679	3851	1757	1722	0	0	2771	2718	0	1103	0	0	0	0	0	0	0	0	0	0
149	Ahrweiler	RP	131456	118287	3321	3717	114966	114570	82552	82330	21828	21459	6358	6271	0	0	1178	1246	634	602	1461	1471	0	0	301	363	0	828	0	0	0	0	0	0	0	0	654	0
150	Koblenz	RP	136688	118513	3861	3829	114652	114684	71232	70765	27355	26908	10821	10539	0	0	1706	1782	1249	941	1529	1494	0	0	760	892	0	1363	0	0	0	0	0	0	0	0	0	0
151	Cochem	RP	121928	107532	3803	3387	103729	104145	69662	70154	12636	12215	15592	14400	0	0	2420	2419	1798	1114	478	481	0	0	1143	1382	0	1980	0	0	0	0	0	0	0	0	0	0
152	Kreuznach	RP	137341	109927	3849	3402	106078	106525	43734	43227	33357	31354	21897	22080	0	0	2109	2186	1492	1504	2221	2224	0	0	1268	1341	0	2609	0	0	0	0	0	0	0	0	0	0
153	Prüm	RP	120150	104212	4658	4097	99554	100115	79199	79678	10249	10005	8207	7589	0	0	1396	1337	0	224	503	486	0	0	0	257	0	539	0	0	0	0	0	0	0	0	0	0
154	Trier	RP	137766	118446	5448	5903	112998	112543	75895	76439	20660	20058	11567	10447	0	0	1124	1073	1216	570	1328	1269	0	0	1208	1159	0	1528	0	0	0	0	0	0	0	0	0	0
155	Westerburg	RP	169892	147218	5515	5110	141703	142108	76668	75525	36807	36186	19985	20215	0	0	2336	2332	1975	1977	2231	2158	0	0	1701	1978	0	1737	0	0	0	0	0	0	0	0	0	0
156	Mainz	RP	144488	122402	5102	4184	117300	118218	52315	52061	40629	39587	15239	14552	0	0	1519	1481	2163	1874	3729	3681	0	0	1706	1610	0	3372	0	0	0	0	0	0	0	0	0	0
157	Worms	RP	134825	115285	9051	4425	106234	110860	35953	35346	41083	39887	19657	17519	0	0	1969	1688	3310	1684	3177	3107	0	0	1085	1083	0	10546	0	0	0	0	0	0	0	0	0	0
158	Ludwigshafen am Rhein	RP	151371	130469	5841	5179	124628	125290	43318	43138	53938	52970	14400	13463	0	0	1620	1246	0	862	9270	9125	0	0	2082	1920	0	2566	0	0	0	0	0	0	0	0	0	0
159	Neustadt an der Weinstraße	RP	151955	130394	7487	5045	122907	125349	48420	47921	45341	44642	20352	19134	0	0	2614	2465	2796	1513	3384	3259	0	0	0	802	0	5613	0	0	0	0	0	0	0	0	0	0
160	Kaiserslautern	RP	156709	126269	5202	5034	121067	121235	45794	46724	43525	43020	21648	19978	0	0	2437	2366	1626	1510	4298	4274	0	0	1739	1796	0	1567	0	0	0	0	0	0	0	0	0	0
161	Zweibrücken	RP	144519	124713	6884	4922	117829	119791	57744	58127	37284	36508	14632	12975	0	0	0	996	0	918	3494	3506	0	0	1720	1464	0	5297	0	0	2955	0	0	0	0	0	0	0
162	Speyer	RP	146160	127938	6227	4764	121711	123174	66573	66765	33483	33040	12817	12013	0	0	1574	1440	0	587	2863	2833	0	0	1593	2071	0	4425	0	0	2808	0	0	0	0	0	0	0
907	Rheinland-Pfalz	RP	2143337	1842707	80662	67344	1762045	1775363	925829	924932	493443	482686	226874	214805	0	0	25744	26210	22938	19731	41723	41090	0	0	19077	20836	0	45073	0	0	5763	0	0	0	0	0	654	0
																																						
163	Stuttgart I (West)	BW	199897	156727	3130	3657	153597	153070	52094	57288	44711	44239	39005	32931	0	0	4343	4285	3574	3709	5629	5562	0	0	2924	3665	0	0	0	0	1317	1391	0	0	0	0	0	0
164	Stuttgart II (Ost)	BW	193959	153666	2966	3514	150700	150152	50149	53165	49718	48238	31702	29032	0	0	5091	5023	2679	2844	7360	7361	0	0	2758	3261	0	0	0	0	1171	1228	0	0	0	0	0	72
165	Ludwigsburg	BW	127863	103698	2448	3174	101250	100524	28610	33684	29192	29362	28793	21996	0	0	8044	7855	1686	2023	2617	2637	0	0	1101	1575	0	0	0	0	1207	1392	0	0	0	0	0	0
166	Heilbronn	BW	144918	121465	2997	4505	118468	116960	33191	37506	35171	34377	38649	32953	0	0	5990	5912	1301	1728	2523	2490	0	0	931	1228	0	0	0	0	712	766	0	0	0	0	0	0
167	Böblingen	BW	155773	122988	3931	4498	119057	118490	54252	53161	31095	30835	13017	13852	0	0	13514	12915	1035	1226	3076	2996	0	0	1861	2188	0	0	0	0	1207	1317	0	0	0	0	0	0
168	Eßlingen	BW	144600	118721	3209	3654	115512	115067	49856	48691	33569	33340	12480	13064	0	0	10694	10296	1368	2221	4082	3979	0	0	986	1423	0	0	0	0	2477	2053	0	0	0	0	0	0
169	Göppingen	BW	151134	125960	2545	3285	123415	122675	57510	57973	36523	33997	12847	13042	0	0	10155	10144	0	1020	2144	2139	0	0	2576	2649	0	0	0	0	1660	1711	0	0	0	0	0	0
170	Ulm	BW	169541	140517	3702	4409	136815	136108	82938	76906	30507	30286	9925	12777	0	0	7755	8084	0	2176	2053	2070	0	0	2474	2732	0	0	0	0	1163	1077	0	0	0	0	0	0
171	Aalen	BW	140970	123649	2781	3131	120868	120518	72281	73525	20558	19707	12306	11449	0	0	12454	12327	679	838	1298	1287	0	0	664	736	0	0	0	0	628	649	0	0	0	0	0	0
172	Backnang	BW	88603	70670	1331	2074	69339	68596	28589	29495	17706	16365	15638	14372	0	0	3657	4240	790	1105	912	963	0	0	1429	1364	0	0	0	0	618	692	0	0	0	0	0	0
173	Crailsheim	BW	114976	93783	2294	3028	91489	90755	45088	47003	13232	13222	20916	18203	0	0	8653	8212	849	1109	582	579	0	0	0	1391	1771	0	0	0	398	1036	0	0	0	0	0	0
174	Waiblingen	BW	97660	78666	2015	2438	76651	76228	23723	28725	17901	18299	25193	17257	0	0	7405	7265	0	593	1609	1689	0	0	820	1446	0	0	0	0	0	954	0	0	0	0	0	0
175	Karlsruhe-Stadt	BW	147862	115433	2524	2857	112909	112576	54182	56259	37672	35588	9187	8687	0	0	4998	4532	1385	1794	2879	2936	0	0	833	1062	0	0	0	0	1773	1718	0	0	0	0	0	0
176	Mannheim-Stadt	BW	189108	147624	3264	4116	144360	143508	50637	52998	55024	53608	16305	14497	0	0	2999	2803	3412	3821	11270	10522	0	0	2696	3151	0	0	0	0	2017	2108	0	0	0	0	0	0
177	Heidelberg	BW	167086	136607	3971	4824	132636	131783	64098	62913	35378	34198	15653	16310	0	0	5686	5812	2963	3308	3634	3621	0	0	2285	2688	0	0	0	0	2939	2933	0	0	0	0	0	0
178	Karlsruhe-Land	BW	164517	130902	6301	7059	124601	123843	65934	56617	38080	38422	6894	13579	0	0	6860	7000	1021	1572	2978	3138	0	0	820	1519	0	0	0	0	2014	1996	0	0	0	0	0	0
179	Bruchsal	BW	88070	72282	3534	3483	68748	68799	42256	42708	14697	14491	4888	4431	0	0	4011	3849	0	717	1365	1329	0	0	476	457	0	0	0	0	1055	817	0	0	0	0	0	0
180	Mannheim-Land	BW	93678	79100	3483	6240	75617	72860	28833	31392	19709	20880	5654	7925	0	0	0	4695	1032	1843	4182	4291	0	0	498	735	0	0	0	0	0	1099	0	0	0	0	0	15709
181	Sinsheim	BW	85448	69814	1912	2375	67902	67439	32897	32140	14049	13676	8940	9136	0	0	6242	6193	831	1473	773	787	0	0	1572	1779	0	0	0	0	2598	2255	0	0	0	0	0	0
182	Tauberbischofsheim	BW	92956	80794	2330	2776	78464	78018	49733	51746	9737	9184	9686	8042	0	0	7719	7259	400	475	464	467	0	0	284	447	0	0	0	0	441	398	0	0	0	0	0	0
183	Konstanz	BW	129142	106623	3389	3032	103234	103591	65853	68862	18526	17207	9123	8170	0	0	4075	3709	1983	1978	1689	1553	0	0	725	837	0	0	0	0	1260	1275	0	0	0	0	0	0
184	Donaueschingen	BW	133260	113758	3860	3721	109898	110037	71204	74507	17362	16743	13925	11248	0	0	3975	3896	839	1036	1371	1382	0	0	498	600	0	0	0	0	724	625	0	0	0	0	0	0
185	Lörrach	BW	147245	117409	5135	4660	112274	112749	63921	64808	25738	25117	12200	11621	0	0	3550	3604	1911	2465	2429	2314	0	0	1352	1601	0	0	0	0	1173	1219	0	0	0	0	0	0
186	Freiburg	BW	127256	101722	2752	2905	98970	98817	57042	58036	21465	20902	9856	9210	0	0	2897	2647	3102	3165	1550	1496	0	0	2440	2578	0	0	0	0	618	783	0	0	0	0	0	0
187	Emmendingen	BW	135832	112286	4716	4340	107570	107946	65522	66872	23042	22515	11506	10786	0	0	3875	3807	1218	1332	1304	1266	0	0	1103	1097	0	0	0	0	0	271	0	0	0	0	0	0
188	Offenburg	BW	139685	111459	5722	4641	105737	106818	62230	64937	20142	19887	14225	12485	0	0	4211	4334	1819	1786	1604	1582	0	0	772	881	0	0	0	0	734	926	0	0	0	0	0	0
189	Rastatt	BW	144302	117016	5799	5596	111217	111420	72696	73660	21172	21060	9053	8174	0	0	3878	3677	1324	1307	2244	2214	0	0	850	740	0	0	0	0	0	588	0	0	0	0	0	0
190	Reutlingen	BW	156541	125155	2855	3229	122300	121926	63298	61813	34085	31540	12467	14150	0	0	4941	4904	1398	2514	2885	3005	0	0	1679	2440	0	0	0	0	1547	1560	0	0	0	0	0	0
191	Calw	BW	138520	106275	2791	3421	103484	102854	44711	50356	18383	20059	30051	20730	0	0	4415	4482	0	761	1681	1638	0	0	3658	4008	0	0	0	0	585	820	0	0	0	0	0	0
192	Rottweil	BW	120139	99714	2720	2751	96994	96963	54914	58077	19586	19286	10771	9080	0	0	4968	4561	2655	1312	1674	1697	0	0	2177	2613	0	0	0	0	249	337	0	0	0	0	0	0
193	Balingen	BW	141258	116230	2967	3225	113263	113005	69315	70372	16768	17117	16762	14379	0	0	6588	6370	0	1270	1300	1163	0	0	1338	1171	0	0	0	0	1192	1163	0	0	0	0	0	0
194	Biberach	BW	122567	112249	2755	2496	109494	109753	86656	89709	8927	8339	6589	5057	0	0	4816	4192	654	852	520	519	0	0	729	776	451	0	0	0	152	309	0	0	0	0	0	0
195	Ravensburg	BW	142389	127291	2996	3008	124295	124283	94801	95970	13874	13618	7835	6910	0	0	4748	4648	951	895	992	963	0	0	583	778	0	0	0	0	511	501	0	0	0	0	0	0
908	Baden-Württemberg	BW	4536755	3710253	109125	122122	3601128	3588131	1839014	1881874	843299	825704	502041	455535	0	0	193207	193532	42859	56268	82673	81635	0	0	45892	55616	2222	0	0	0	34140	37967	0	0	0	0	0	15781
																																						
196	Altötting	BY	121425	108998	3070	3536	105928	105462	0	0	18449	18230	1709	1924	48507	48559	15040	14490	1093	1143	904	868	19729	19265	0	214	0	436	0	0	497	333	0	0	0	0	0	0
197	Fürstenfeldbruck	BY	121499	104756	3418	3472	101338	101284	0	0	21081	20812	2171	2899	51737	47838	11645	11811	0	426	1182	1209	11974	14112	717	532	0	875	0	0	831	770	0	0	0	0	0	0
198	Ingolstadt	BY	137392	113645	3416	4140	110229	109505	0	0	21643	21136	1486	1875	54040	53983	12209	12229	979	1166	1343	1203	17534	16819	243	330	0	627	0	0	146	137	0	0	0	0	0	606
199	Miesbach	BY	128638	110578	2920	3583	107658	106995	0	0	23961	23301	6426	7371	50553	47874	9489	9834	581	1064	1684	1693	11960	12457	690	723	0	703	0	0	2186	1975	0	0	0	128	0	0
200	München-Nord	BY	171199	124825	5215	4143	119610	120682	0	0	37514	36243	9858	8882	56493	46321	5911	5822	1592	970	4881	4833	0	13406	2508	1986	0	1708	0	0	618	511	0	0	0	235	0	0
201	München-Ost	BY	163041	119823	5215	4179	114608	115644	0	0	45190	43903	7289	6385	49408	40122	3805	3679	1310	797	5618	5565	0	12169	1157	1161	0	1385	0	0	619	478	0	0	0	212	0	0
202	München-Süd	BY	170944	128081	5225	3945	122856	124136	0	0	40317	38993	9680	8670	60045	49421	3831	3716	1523	1032	5231	5195	0	13692	1175	1394	0	1500	0	0	812	523	0	0	0	242	0	0
203	München-West	BY	152186	113699	4376	4145	109323	109554	0	0	37517	36013	7910	7128	51666	40626	4445	4331	1207	848	4648	4543	0	12969	1154	1273	0	1374	0	0	544	449	0	0	0	232	0	0
204	München-Land	BY	149292	123975	4646	4515	119329	119460	0	0	25650	25380	5274	5305	53799	52065	9791	10287	645	664	1970	1798	20986	22051	463	595	0	930	0	0	402	385	0	0	0	349	0	0
205	Rosenheim	BY	140900	122403	3783	4910	118620	117493	0	0	28302	26246	3095	4237	49640	49194	11891	12255	711	841	1461	1500	22214	21343	402	542	0	690	0	0	904	645	0	0	0	0	0	0
206	Traunstein	BY	147198	128224	4481	5790	123743	122434	0	0	21487	21723	10132	9227	54638	56533	11665	11544	1274	1450	1368	1350	21769	18375	722	800	0	1162	0	0	0	270	0	0	0	688	0	0
207	Weilheim	BY	144638	126984	3177	4477	123807	122507	0	0	23454	23520	6236	7411	64772	58595	10387	10970	585	1092	1842	1668	15229	17335	545	616	0	799	0	0	506	501	0	0	0	251	0	0
208	Deggendorf	BY	113767	95378	3275	4695	92103	90683	0	0	14187	15640	1490	2062	44303	44522	8806	9771	255	328	1130	1145	21548	16502	211	228	0	410	0	0	0	75	0	0	0	0	0	173
209	Landshut	BY	124549	107849	4157	3982	103692	103867	0	0	21974	21421	1959	2322	51533	52090	9791	9760	1614	1495	1196	1133	15315	14365	310	291	0	818	0	0	0	172	0	0	0	0	0	0
210	Passau	BY	99838	86816	2884	2951	83932	83865	0	0	14140	13841	1750	2062	51870	50718	7226	7114	500	509	593	588	7592	7729	0	106	0	992	0	0	261	206	0	0	0	0	0	0
211	Pfarrkirchen	BY	98336	86598	3200	3301	83398	83297	0	0	9388	9464	1152	1338	45129	45158	12633	12175	534	621	378	368	14007	13555	177	158	0	399	0	0	0	61	0	0	0	0	0	0
212	Straubing	BY	109248	93614	2969	3826	90645	89788	0	0	13902	13654	2721	2504	47308	47943	10899	10392	0	270	760	751	14598	13202	274	143	0	594	0	0	183	335	0	0	0	0	0	0
213	Vilshofen	BY	106350	92554	3818	3867	88736	88687	0	0	13476	13393	2306	2242	44365	44948	11543	10888	0	464	671	647	15775	15171	238	212	0	562	0	0	362	160	0	0	0	0	0	0
214	Amberg	BY	126202	113265	4636	3531	108629	109734	0	0	22759	22231	5250	4905	70043	62880	6491	6631	0	616	1261	1234	0	7825	0	538	0	1267	0	0	2825	1607	0	0	0	0	0	0
215	Burglengenfeld	BY	99588	90472	3557	3749	86915	86723	0	0	20462	19931	1598	1644	52504	51847	3542	3714	0	523	1351	1342	6260	6286	339	229	0	619	0	0	859	588	0	0	0	0	0	0
216	Cham	BY	93254	81872	2607	2603	79265	79269	0	0	13829	13815	1648	1746	48397	48631	5740	5522	0	369	737	730	8598	7460	316	272	0	562	0	0	0	162	0	0	0	0	0	0
217	Regensburg	BY	131861	112607	4774	4827	107833	107780	0	0	29291	27568	3605	4052	61487	54602	6189	6544	1217	1378	1622	1533	0	7383	638	901	3146	3608	0	0	454	211	0	0	0	0	0	184
218	Tirschenreuth	BY	109746	101250	2681	3276	98569	97974	0	0	25071	25260	3322	4169	53901	51990	8141	7795	184	368	985	979	3842	4497	1176	729	1473	1588	0	0	474	599	0	0	0	0	0	0
219	Bamberg	BY	117973	104749	3111	3153	101638	101596	0	0	18202	17844	3462	3981	55291	54348	7390	7642	0	343	690	711	12488	12651	454	453	3135	2827	0	0	526	796	0	0	0	0	0	0
220	Bayreuth	BY	124821	108788	7990	4199	100798	104589	0	0	40278	37748	0	9001	0	26717	10656	8571	1757	1709	1819	1710	38150	11445	634	680	4245	4511	0	0	3259	2497	0	0	0	0	0	0
221	Coburg	BY	134183	122251	5860	4360	116391	117891	0	0	39663	36220	61487	17191	0	41769	10929	10109	0	2454	1439	1449	0	4537	682	516	1905	2421	0	0	286	1225	0	0	0	0	0	0
222	Forchheim	BY	110220	97871	3058	3046	94813	94825	0	0	15010	15013	4629	5279	53414	51746	8407	8308	0	1004	734	706	10094	10158	288	359	1914	1938	0	0	323	314	0	0	0	0	0	0
223	Hof	BY	128104	112347	7339	4229	105008	108118	0	0	44884	41704	46836	15426	0	28720	7104	7430	1637	1514	2391	2302	0	8332	530	384	0	889	0	0	1626	1417	0	0	0	0	0	0
224	Kulmbach	BY	116618	102883	4481	4294	98402	98589	0	0	31714	31171	0	8591	50904	35956	8661	8701	815	1333	1265	1345	0	6281	687	626	2970	3650	0	0	1386	935	0	0	0	0	0	0
225	Ansbach	BY	129679	110523	3322	4042	107201	106481	0	0	16487	16380	13063	12882	54806	55406	12404	11320	1017	1413	577	561	6416	5284	484	640	0	1239	0	0	1506	1356	0	0	0	0	0	441
226	Erlangen	BY	131806	113272	4883	4870	108389	108402	0	0	30787	29732	12634	15339	46310	40981	12603	12230	1228	1283	1576	1537	2007	2690	1244	1158	0	3170	0	0	0	282	0	0	0	0	0	0
227	Nürnberg	BY	192587	165499	4753	6161	160746	159338	0	0	66157	64268	17726	16318	53845	52509	4217	4214	1360	1402	6890	6752	0	2683	2487	2963	7414	7764	0	0	650	465	0	0	0	0	0	0
228	Nürnberg – Fürth	BY	160629	134609	5058	5897	129551	128712	0	0	52744	51176	13843	13394	42522	40548	3930	3867	1085	1245	6465	6405	0	2558	1886	2198	7076	6942	0	0	0	379	0	0	0	0	0	0
229	Schwabach	BY	133508	114926	4163	4787	110763	110139	0	0	36546	36098	12616	12549	37272	37467	8977	8746	579	981	2036	2002	6935	5864	815	1059	4546	5027	0	0	441	346	0	0	0	0	0	0
230	Weißenburg	BY	134494	117417	5368	3780	112049	113637	0	0	20959	19501	6766	6390	78340	72396	0	7220	0	512	840	798	0	2534	0	419	5144	3792	0	0	0	75	0	0	0	0	0	0
231	Aschaffenburg	BY	156918	136205	6546	6852	129659	129353	0	0	34446	34790	5639	5882	71044	69496	12444	11922	0	483	1879	1803	3129	3093	1078	866	0	919	0	0	0	99	0	0	0	0	0	0
232	Bad Kissingen	BY	121676	108027	3413	3569	104614	104458	0	0	13807	13471	10499	10016	60582	60683	10978	10383	909	756	681	615	7158	7016	0	225	0	1102	0	0	0	191	0	0	0	0	0	0
233	Karlstadt	BY	112810	101099	3040	3635	98059	97464	0	0	14914	15533	4946	5559	67130	63484	6889	7435	449	617	738	728	2544	3090	449	367	0	596	0	0	0	55	0	0	0	0	0	0
234	Schweinfurt	BY	132648	119055	4047	4017	115008	115038	0	0	27737	27069	7831	8576	64770	61861	8808	8142	0	397	1155	1132	4707	5863	0	400	0	1502	0	0	0	96	0	0	0	0	0	0
235	Würzburg	BY	156496	136003	3955	4698	132048	131305	0	0	30953	30157	9962	10503	71301	70195	11602	10949	669	506	2735	2378	3852	3807	461	565	0	1743	0	0	513	502	0	0	0	0	0	0
236	Augsburg-Stadt	BY	136484	114604	3442	2949	111162	111655	0	0	34253	33528	7923	7835	60325	54515	2960	3189	480	519	2402	2290	0	6637	922	981	0	961	0	0	1897	1200	0	0	0	0	0	0
237	Augsburg-Land	BY	125505	112136	3069	3138	109067	108998	0	0	19896	19707	4132	4332	61370	59089	10700	10882	781	617	893	900	10302	11596	347	362	0	609	0	0	646	904	0	0	0	0	0	0
238	Dillingen	BY	119773	105378	3297	3678	102081	101700	0	0	19741	19669	3667	3911	53295	55454	7860	8980	281	640	643	652	13746	10109	733	529	0	353	0	0	2115	1403	0	0	0	0	0	0
239	Donauwörth	BY	107112	93744	2439	2935	91305	90809	0	0	11242	11121	4057	4317	53933	52524	16045	15264	797	1040	647	627	4100	4936	187	284	0	495	0	0	297	201	0	0	0	0	0	0
240	Kaufbeuren	BY	119486	105773	3270	3522	102503	102251	0	0	15011	14797	5051	4875	59155	58046	10494	10626	645	1121	608	579	9537	10030	377	379	0	734	0	0	1431	1064	0	0	0	194	0	0
241	Kempten	BY	157580	137296	4040	4678	133256	132618	0	0	21642	21720	10599	9133	82268	81069	7616	7515	2073	2131	1063	1051	7256	7996	739	692	0	930	0	0	0	381	0	0	0	0	0	0
242	Memmingen	BY	112619	101096	2728	2329	98368	98767	0	0	14274	14127	4007	3854	56271	55948	13232	13034	993	977	618	634	7719	8483	466	581	0	440	0	0	788	689	0	0	0	0	0	0
909	Bayern	BY	6134820	5263817	190172	190261	5073645	5073556	0	0	1214391	1184262	369442	315494	2450286	2427387	416016	417953	33359	43431	83600	81542	399070	465641	29405	31659	42968	78162	0	0	31173	28025	0	0	0	2531	0	1404
																																						
